,frame,image_id,colony_area,cell_count,cell_area,cell_length,medium
275,35,982,113295.39012783316,244,89633.0,8631.079540135193,Acetate-MOPS
276,36,982,130157.28807243126,289,103274.5,9911.85163544363,Acetate-MOPS
277,37,982,147168.99334599305,334,118816.5,11407.542343538658,Acetate-MOPS
278,38,982,165554.92588268116,387,135244.5,13120.944797147493,Acetate-MOPS
279,39,982,187533.7444578196,438,154401.0,14996.99092206415,Acetate-MOPS
280,0,983,2102.263325566193,4,1775.5,159.6020709688274,Acetate-MOPS
281,1,983,2380.580013307277,5,1999.5,182.54837176604352,Acetate-MOPS
282,2,983,2948.280808876967,8,2405.0,283.18409219855954,Acetate-MOPS
283,3,983,3318.235585096292,8,2602.0,244.59826061359274,Acetate-MOPS
284,4,983,3569.0773814776912,8,2857.0,268.5694018295147,Acetate-MOPS
285,5,983,4103.03112472198,10,3250.0,356.3182862218851,Acetate-MOPS
286,6,983,4384.596891597146,9,3418.5,329.85276688258665,Acetate-MOPS
287,7,983,4799.51450342522,10,3874.0,364.10450269364634,Acetate-MOPS
288,8,983,5577.899650603533,13,4483.0,422.35267026579965,Acetate-MOPS
289,9,983,6334.55193128949,16,4966.5,482.2972584345384,Acetate-MOPS
290,10,983,6919.203587724362,16,5411.0,527.5657406389523,Acetate-MOPS
291,11,983,7953.590938924346,17,6111.0,591.1110522883164,Acetate-MOPS
292,12,983,8844.013977716444,17,6732.0,645.7572390318796,Acetate-MOPS
293,13,983,10385.116921946174,22,7605.5,736.8703892754149,Acetate-MOPS
294,14,983,12376.138456567423,29,8774.0,847.6165377675188,Acetate-MOPS
295,15,983,13654.589089908635,31,9752.0,947.7219010850657,Acetate-MOPS
296,16,983,14907.228616608309,32,10692.0,1046.5219276788328,Acetate-MOPS
297,17,983,16385.18892647978,34,11738.0,1166.8934075105108,Acetate-MOPS
298,18,983,17753.726507317275,38,13251.0,1309.106963487972,Acetate-MOPS
299,19,983,20189.500850943965,43,14971.5,1466.6811580195908,Acetate-MOPS
300,20,983,22647.337567106588,52,16883.5,1661.7828658774786,Acetate-MOPS
301,21,983,25865.253029151587,61,18802.5,1884.7803785042943,Acetate-MOPS
302,22,983,29307.646657709494,66,21260.0,2114.736691872526,Acetate-MOPS
303,23,983,32210.77607903501,70,23903.5,2357.236185750857,Acetate-MOPS
